date,time,level,name,message
2025-06-18,22:37:11,INFO,log,"SubHub initiated (log file: [/workspaces/SubHub/backend/src/app/core/../../logs/log_1750286231.log])"
2025-06-18,22:37:11,INFO,log,"Registration attempt: test@example.com from IP testclient"
2025-06-18,22:37:11,INFO,log,"User registered successfully: test@example.com, name: Test User"
2025-06-18,22:37:11,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 201 Created""
2025-06-18,22:37:11,INFO,log,"Login attempt: test@example.com from IP testclient"
2025-06-18,22:37:11,INFO,log,"Login successful: test@example.com, token valid for 1 hour"
2025-06-18,22:37:11,INFO,httpx,"HTTP Request: POST http://testserver/login "HTTP/1.1 200 OK""
2025-06-18,22:37:11,INFO,log,"User test@example.com adding subscription: Netflix ($15.99/month, category: Entertainment)"
2025-06-18,22:37:11,INFO,log,"User test@example.com successfully added subscription: Netflix"
2025-06-18,22:37:11,INFO,httpx,"HTTP Request: POST http://testserver/subscriptions "HTTP/1.1 201 Created""
2025-06-18,22:37:11,INFO,log,"User test@example.com adding subscription: Spotify ($9.99/month, category: Music)"
2025-06-18,22:37:11,INFO,log,"User test@example.com successfully added subscription: Spotify"
2025-06-18,22:37:11,INFO,httpx,"HTTP Request: POST http://testserver/subscriptions "HTTP/1.1 201 Created""
2025-06-18,22:37:11,INFO,log,"User test@example.com viewed subscription summary: 2 subscriptions totaling $25.98/month"
2025-06-18,22:37:11,INFO,httpx,"HTTP Request: GET http://testserver/summary "HTTP/1.1 200 OK""
2025-06-18,22:37:11,INFO,log,"Registration attempt: test@example.com from IP testclient"
2025-06-18,22:37:11,INFO,log,"User registered successfully: test@example.com, name: Test User"
2025-06-18,22:37:11,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 201 Created""
2025-06-18,22:37:11,INFO,log,"Login attempt: test@example.com from IP testclient"
2025-06-18,22:37:11,INFO,log,"Login successful: test@example.com, token valid for 1 hour"
2025-06-18,22:37:11,INFO,httpx,"HTTP Request: POST http://testserver/login "HTTP/1.1 200 OK""
2025-06-18,22:37:11,INFO,log,"User test@example.com adding subscription: Netflix ($15.99/month, category: Entertainment)"
2025-06-18,22:37:11,INFO,log,"User test@example.com successfully added subscription: Netflix"
2025-06-18,22:37:11,INFO,httpx,"HTTP Request: POST http://testserver/subscriptions "HTTP/1.1 201 Created""
2025-06-18,22:37:11,INFO,log,"User test@example.com adding subscription: Spotify ($9.99/month, category: Music)"
2025-06-18,22:37:11,INFO,log,"User test@example.com successfully added subscription: Spotify"
2025-06-18,22:37:11,INFO,httpx,"HTTP Request: POST http://testserver/subscriptions "HTTP/1.1 201 Created""
2025-06-18,22:37:11,INFO,log,"User test@example.com adding subscription: Disney+ ($7.99/month, category: Entertainment)"
2025-06-18,22:37:11,INFO,log,"User test@example.com successfully added subscription: Disney+"
2025-06-18,22:37:11,INFO,httpx,"HTTP Request: POST http://testserver/subscriptions "HTTP/1.1 201 Created""
2025-06-18,22:37:11,INFO,log,"User test@example.com viewed category analysis"
2025-06-18,22:37:11,INFO,httpx,"HTTP Request: GET http://testserver/categories "HTTP/1.1 200 OK""
2025-06-18,22:37:11,INFO,log,"Registration attempt: test@example.com from IP testclient"
2025-06-18,22:37:12,INFO,log,"User registered successfully: test@example.com, name: Test User"
